Date,Coin,Futures,Type,Sum,Fee,
2022-07-18 07:47:04,USDT,BTCUSDT,Close Long,4.18250000,-0.09271080,
2022-07-18 03:00:34,USDT,BTCUSDT,Fees,0.00383498,0.00000000,
2022-07-17 19:00:32,USDT,BTCUSDT,Fees,0.00921796,0.00000000,
2022-07-17 11:00:38,USDT,BTCUSDT,Fees,0.00183252,0.00000000,
2022-07-17 08:01:37,USDT,BTCUSDT,Open long,0.00000000,-0.09020130,
2022-07-17 08:01:24,USDT,BTCUSDT,Close short,-2.76850000,-0.09026220,
2022-07-17 03:00:17,USDT,BTCUSDT,Fees,-0.00045309,0.00000000,
2022-07-16 19:00:15,USDT,BTCUSDT,Fees,-0.01326303,0.00000000,
2022-07-16 11:00:23,USDT,BTCUSDT,Fees,-0.01456735,0.00000000,
2022-07-16 03:00:23,USDT,BTCUSDT,Fees,-0.00704697,0.00000000,
2022-07-15 19:00:18,USDT,BTCUSDT,Fees,-0.01462227,0.00000000,
2022-07-15 16:08:07,USDT,BTCUSDT,Open short,0.00000000,-0.02953370,
2022-07-15 16:07:40,USDT,BTCUSDT,Close Long,1.56100000,-0.08861160,
2022-07-15 13:13:47,USDT,BTCUSDT,Open long,0.00000000,-0.08767500,
2022-07-15 13:13:12,USDT,BTCUSDT,Close short,-6.12000000,-0.11263860,
2022-07-15 11:00:24,USDT,BTCUSDT,Fees,-0.01879842,0.00000000,
2022-07-15 03:00:17,USDT,BTCUSDT,Fees,-0.01854544,0.00000000,
2022-07-14 19:00:16,USDT,BTCUSDT,Fees,-0.01845038,0.00000000,
2022-07-14 11:00:23,USDT,BTCUSDT,Fees,-0.01788351,0.00000000,
2022-07-14 03:00:16,USDT,BTCUSDT,Fees,-0.01802050,0.00000000,
2022-07-13 19:00:22,USDT,BTCUSDT,Fees,-0.01785542,0.00000000,
2022-07-13 11:00:23,USDT,BTCUSDT,Fees,-0.01761091,0.00000000,
2022-07-13 03:00:15,USDT,BTCUSDT,Fees,-0.01757505,0.00000000,
2022-07-12 19:00:34,USDT,BTCUSDT,Fees,0.01668756,0.00000000,
2022-07-12 11:00:14,USDT,BTCUSDT,Fees,-0.01791462,0.00000000,
